DateTime,CT,SRAD,TMAX,TMIN,TDEW,RELH,WSPD,P_Mesonet,WDIR,WMAX,PRES,TAIR,Irrigation,P_Mesonet,IP
7/29/2020 13:15,304.75,1019,307.55,307.05,295.95,52,14,0,201,20,28.4,307.05,0,0,0
7/29/2020 13:30,304.85,774,307.55,307.05,295.95,52,13,0,205,19,28.4,307.05,0,0,0
7/29/2020 13:45,305.25,394,307.05,305.95,295.35,53,12,0,202,19,28.4,306.45,0,0,0
7/29/2020 14:00,305.05,650,307.55,305.95,295.35,52,11,0,201,18,28.4,306.45,0,0,0
7/29/2020 14:15,305.35,633,307.55,307.05,295.95,51,11,0,207,17,28.4,307.05,0,0,0
7/29/2020 14:30,305.95,706,308.15,307.05,295.35,49,11,0,199,16,28.4,307.55,0,0,0
7/29/2020 14:45,305.85,926,308.75,307.55,295.35,48,9,0,174,15,28.4,308.15,0,0,0
7/29/2020 15:00,304.05,838,308.75,308.15,295.35,46,10,0,188,21,28.4,308.75,0,0,0
7/29/2020 15:15,305.25,415,307.55,307.05,295.35,49,13,0,185,20,28.4,307.55,0,0,0
7/29/2020 15:30,305.45,291,307.05,306.45,294.85,50,12,0,183,17,28.4,307.05,0,0,0
7/29/2020 15:45,305.95,192,307.05,305.35,295.35,53,11,0,182,16,28.4,305.95,0,0,0
7/29/2020 16:00,307.15,692,308.15,306.45,295.35,50,11,0,184,20,28.4,307.55,0,0,0
7/29/2020 16:15,306.95,591,307.55,307.55,295.35,49,14,0,194,21,28.4,307.55,0,0,0
7/29/2020 16:30,305.35,551,307.55,307.55,294.85,48,15,0,187,20,28.4,307.55,0,0,0
7/29/2020 16:45,304.65,490,308.15,307.55,295.35,48,15,0,181,23,28.4,307.55,0,0,0
7/29/2020 17:00,303.85,453,308.15,307.55,294.85,46,15,0,186,22,28.4,308.15,0,0,0
7/29/2020 17:15,306.35,305,307.55,307.05,294.85,48,13,0,186,19,28.4,307.05,0,0,0
7/29/2020 17:30,305.95,262,307.05,305.95,294.85,49,13,0,190,18,28.4,306.45,0,0,0
7/29/2020 17:45,306.05,300,305.95,305.95,294.25,51,12,0,186,21,28.4,305.95,0,0,0
7/29/2020 18:00,306.15,246,305.95,305.95,293.75,49,14,0,184,21,28.4,305.95,0,0,0
7/29/2020 18:15,306.05,194,305.95,305.95,293.15,48,13,0,179,18,28.4,305.95,0,0,0
7/29/2020 18:30,305.45,144,305.95,305.95,293.15,47,13,0,167,19,28.4,305.95,0,0,0
7/29/2020 18:45,304.95,102,305.95,305.95,293.15,47,12,0,165,16,28.4,305.95,0,0,0
7/29/2020 19:00,304.45,55,305.35,305.35,293.15,48,12,0,163,16,28.4,305.35,0,0,0
7/29/2020 19:15,304.35,21,305.35,304.85,293.15,49,11,0,159,15,28.4,304.85,0,0,0
7/29/2020 19:30,304.05,6,304.25,304.25,293.15,52,9,0,153,12,28.4,304.25,0,0,0
7/29/2020 19:45,303.65,1,303.75,303.75,293.15,53,9,0,150,13,28.4,303.75,0,0,0
7/29/2020 20:00,303.15,0,303.75,303.15,292.55,53,9,0,148,13,28.4,303.15,0,0,0
7/29/2020 20:15,302.65,0,302.55,302.55,292.55,55,9,0,145,11,28.4,302.55,0,0,0
7/29/2020 20:30,302.05,0,302.05,301.45,293.15,59,7,0,141,11,28.4,302.05,0,0,0
7/29/2020 20:45,301.55,0,302.55,302.05,293.15,57,9,0,155,12,28.4,302.55,0,0,0
7/29/2020 21:00,301.05,0,302.05,300.95,293.15,61,7,0,141,9,28.4,301.45,0,0,0
7/29/2020 21:15,300.45,0,300.95,300.95,293.75,65,8,0,137,9,28.4,300.95,0,0,0
7/29/2020 21:30,300.15,0,300.95,300.35,293.75,67,8,0,136,9,28.4,300.35,0,0,0
7/29/2020 21:45,299.15,0,300.35,300.35,293.75,67,8,0,126,10,28.4,300.35,0,0,0
7/29/2020 22:00,299.75,0,300.35,300.35,294.25,68,7,0,124,9,28.4,300.35,0,0,0
7/29/2020 22:15,298.75,0,299.85,298.75,294.25,73,7,0,100,9,28.4,299.25,0,0,0
7/29/2020 22:30,298.05,0,298.75,298.75,294.85,77,8,0,91,9,28.4,298.75,0,0,0
7/29/2020 22:45,297.95,0,298.75,298.75,294.25,77,7,0,99,9,28.4,298.75,0,0,0
7/29/2020 23:00,298.15,0,298.75,298.15,294.85,80,8,0,102,9,28.4,298.15,0,0,0
7/29/2020 23:15,298.05,0,298.75,298.15,294.85,80,8,0,121,11,28.4,298.15,0,0,0
7/29/2020 23:30,297.35,0,298.75,298.15,294.25,79,9,0,117,11,28.4,298.15,0,0,0
7/29/2020 23:45,296.95,0,298.15,298.15,294.25,80,8,0,112,11,28.4,298.15,0,0,0
